"",company_name,website,Email,phone_no_0,phone_no_1,phone_no_2,phone_no_3,phone_no_4,phone_no_5,phone_no_6,phone_no_7,phone_no_8,phone_no_9
17,Aerial Properties Ltd.,http://www.aerial-properties.com/,aerial2k18@gmail.com,8801833329291,8801819283344,"","","","","","","",""
18,Afser Real Estate and Construction Limited,http://www.afsergroup.com/,areacltd@live.com,88029891867,9883500,8826783,"","","","","","",""
19,AG Property Developments Limited,http://www.ahsan-group.com/,agproperty2010@gmail.com,8802222260198,8801811443614,"","","","","","","",""
20,Agrani Apartment Ltd.,http://www.agraniapartment.com/,"",880248315645,880248322687,"","","","","","","",""
21,Agrojatra Dream Housing & Real Estate Ltd.,http://www.agrojatra.com/,info@agrojatra.com,88043171990,8801711928781,"","","","","","","",""
22,AI International Limited,http://www.aiintlbd.com/,info@aiintlbd.com,880258071169,"","","","","","","","",""
23,Aim Properties Limited,http://www.aimpropertiesbd.com/,aimpropertiesctg@gmail.com,8802334454231,"","","","","","","","",""
24,AirBell Development Technologies Limited,http://www.airbellbd.com/,airbellctg@gmail.com,"",8801711761040,"","","","","","","",""
25,AK Developers Limited,http://www.akd-bd.com/,info@akd-bd.com,8809613908070,"","","","","","","","",""
26,Akaba Developments Ltd.,"",akabadevelopments@yahoo.com,2223390791,8801714088331,8801678043355,"","","","","","",""
27,Akankha Developers Limited,"",akankha.dvl@gmail.com,88029101717,8142723,"","","","","","","",""
28,Akash Construction Ltd.,"",akashconstrs@yahoo.com,8801713097645,"","","","","","","","",""
29,Akco Real Estate Limited,"","",9552833,9560920,"","","","","","","",""
30,Akota Landmark Ltd.,http://www.akotalandmarkltd.com/,akotalandmarkltd@gmail.com,8801718983686,8801911228604,"","","","","","","",""
31,Akter Properties Limited,http://www.akterproperties.com/,biswas_akter@yahoo.com,8802222281506,8802222280871,8802222281123,8801711547932,8801715090290,"","","","",""
32,Al Kamil Housing Limited,http://www.al-kamilhousing%28pvt%29ltd.com/,mdemranhossain1971@yahoo.com,880248955049,8801713020481,"","","","","","","",""
33,Al Maimanah Builders Ltd.,"",maimanah.bd@gmail.com,8801732939410,88028413748,"","","","","","","",""
34,Al-Amin Development Ltd.,"",md.yunusali11@gmail.com,88029898372,7743599,8801819263909,"","","","","","",""
35,Al-Haj Mostafa Hakim Housing & Real Estate Ltd.,http://www.mostafahakim.com/,info@mostafahakim.com,2333316471,2333310610,"","","","","","","",""
36,Al-Jesour Resort Ltd.,http://www.aljesourbd.com/,info@aljesourbd.com,8801701677001,88029841317,880258817933,"","","","","","",""
37,Al-Musawwir Constructions Ltd.,https://almusawwirgroup.com/,info@almusawwirgroup.com,8802226622909,880197909922,8801979099333,"","","","","","",""
38,Al-Muslim Builders Limited,http://www.al-muslimgroup.com/,md@pacificbluejeans.com,7742825,7743599,7743600,"","","","","","",""
39,Alien Properties Ltd.,http://www.alienpropertiesbd.com/,info@alienpropertiesbd.com,88029113752,88028114671,88029144895,9143983,9146202,"","","","",""
40,Alifia Properties Limited,http://www.hamidgroup.com/,borhan@hamidgroup.com,"","","","","","","","","",""
41,Aline Properties Ltd.,http://www.alinebd.com/,info@alinebd.com,8801730057810,8801730057801,"","","","","","","",""
42,Aline Real Estate Ltd.,http://www.alinerel.com/,aminul.aline@gmail.com,8801327263636,8801973168044,"","","","","","","",""
43,Alliance Properties Limited,http://www.allianceproperties.com.bd/,info@allianceproperties.com.bd,"","","","","","","","","",""
44,Alpha Builders Ltd.,http://www.alphabuildersltd.com/,alphabdltd@gmail.com,8801713019496,880248956365,880248956357,8801726042501,"",8801713019496,"","","",""
45,Alpha Developer Limited,"",adldhaka@yahoo.com,880248811882,48811883,8801819212564,"","","","","","",""
46,Amader Properties Ltd.,http://www.shawalgroupbd.com/,amaderproperties@gmail.com,2223326615,8801713453562,"","","","","","","",""
47,Amanat Holdings (Pvt.) Limited,http://www.amanatholdingsbd@yahoo.com/,"",312858666,"","","","","","","","",""
48,Amber Holdings Limited,http://www.amber.com.bd/,phoni@amber.com.bd,88028881155,8881126,8881127,88001787666890,"","","","","",""
49,Ambit Builders Ltd.,http://ambit-bd.com/,ambitgroup@yahoo.com,8801711303782,8801897986001,"","","","","","","",""
50,Amble Properties Limited,http://www.amblegroupbd.com/,ambleproperties@gmail.com,88029893845,9890357,"","","","","","","",""
51,Amin & Momin Developments Ltd.,http://www.amdlbd-fcddl.com/,amdl_03@yahoo.com,241023132,"","","","","","","","",""
52,Amin Mohammad Foundation Ltd.,http://www.amgbd.com/,amfl@amgbd.com,8802581551015,8802581536767,"","","","","","","",""
53,Amin Mohammad Lands Development Ltd.,http://www.amgbd.com/,amld@amgbd.com,8802912453842,581551015,"","","","","","","",""
54,Amity Apartment & Developers Ltd.,http://www.amityapartment.com.bd/,info@amityapartment.com.bd,880312522570,8801591146725,8801730703068,"","","","","","",""
55,Amity Dwelling Ltd.,http://www.amity.com.bd/,info@amity.com.bd,312851951,2851952,"","","","","","","",""
56,Ana Holdings Limited,http://www.anaholdingsbd.com/,info@anaholdingsbd.net,8802550551179,"","","","","","","","",""
57,Anan Properties Ltd.,http://www.anangroupbd.com/,ananupha@gmail.colm,8801711541176,"","","","","","","","",""
58,Anandadhara Builders Limited,"",adharabltd@gmail.com,8801711327694,8801714092099,"","","","","","","",""
59,Ananta Real Estate Ltd.,http://www.anantaterraces.com/,info@anantaterraces.com,"","","","","","","","","",""
60,Anesa Developers Ltd.,http://www.anesabd.com/,anesadevelopers@gmail.com,8801711531301,24124836,"","","","","","","",""
61,Angan Developments Ltd.,http://www.angan.com.bd/,info@angan.com.bd,8809639203070,8801711533211,"","","","","","","",""
62,Angan Properties Ltd.,http://www.angan.com.bd/,info@angan.com.bd,9639203070,8801711533211,"","","","","","","",""
63,Anirbaan Holdings Limited,http://www.anirbaan.com/,info@anirbaan.com,88029871584,9886275,"","","","","","","",""
64,Anirban Assets Ltd.,http://www.anirban.com.bd/,banshoyebg@gmail.com,880248810323,880248810324,"","","","","","","",""
65,Anirban Construction Ltd.,http://www.anirban.com.bd/,banshoyebg@gmail.com,880248810323,880248810324,"","","","","","","",""
66,Ankon Limited,http://www.ankonltd.com/,"",8801711142440,"","","","","","","","",""
67,Anvil Holdings Limited,http://www.anvil.com.bd/,anvilholdingsltd@gmail.com,8801819641107,8801810035900,"","","","","","","",""
68,Anwar Landmark Ltd.,http://www.anwarlandmark.com/,info.alml@anwargroup.net,9666773322,47114208,9570072,9564178,"","","","","",""
69,ANZ Properties Limited,http://www.anzproperties.com/,infoanzproperties@gmail.com,2226600745,28833986,"","","","","","","",""
70,Anzac Design and Development Ltd.,http://www.anzacbd.com/,mamunr.adl@gmail.com,248118979,"","","","","","","","",""
71,Apex Housing & Development Ltd.,http://www.apexhousingbd.com/,info@apexhousingbd.com,+880312851095,"","","","","","","","",""
72,Apex Property Development Limited,"",apdl_bd@yahoo.com,88029862122,55069911,55069900,"","","","","","",""
73,APL Holdings Limited,http://www.aplholding.com/,arif.islam@aplholding.com,8802413551745,"","","","","","","","",""
74,Apon Griho Nirman Properties Ltd.,https://www.apongriho.com/,apongriholtd@gmail.com,880241024264,8801711788204,"","","","","","","",""
75,Apon Nibas Ltd.,http://www.aponnibas.com/,"",88029000767,"","","","","","","","",""
76,Arafat Developers & Builders Ltd.,http://www.adblbd.com/,adbl8591@gmail.com,8802226622306,8801888108007,"","","","","","","",""
77,Arcade Real Estate Limited,http://www.arcadebd.com/,arcade_bd@yahoo.com,88028191445,8801716211690,8801735882609,8801708515543,"","","","","",""
78,Arch Real Estate Limited,http://www.archrealestateltd.com/,archrealestateltd@gmail.com,88029833515,"","","","","","","","",""
79,Architects Limited,"",architectsltd@yahoo.com,880258154358,8802222243662,"","","","","","","",""
80,Arfa Holdings Limited,http://www.arfaholdings.com/,arfaholdingsltd@gmail.com,88028189363,8801712928476,"","","","","","","",""
81,Ariana Developments Ltd.,http://www.ariana.com.bd/,wpi@bangla.net.bd,8802223381746,2223380047,"","","","","","","",""
82,Aristo Builders Ltd,http://www.aristobuildersbd.com/,aristobuildersbd@gmail.com,8801713402837,"","","","","","","","",""
83,Aristo Properties Ltd.,"",aristoproperties@gmail.com,8801715013382,"","","","","","","","",""
84,Aristo Real Estate Ltd.,"",aristo2070@gmail.com,8801911387313,8396411,"","","","","","","",""
85,Aristocrats Properties Ltd.,http://www.aristocratspl.com/,airstocratspl@yahoo.com,8801711537321,8801912013050,"","","","","","","",""
86,ARK Builders Ltd,http://www.arkbuilders-bd.com/,info@arkbuilders-bd.com,"",8801726737373,880255096664,"","","","","","",""
87,Arma Real Estate Limited,https://armagroup.com.bd/,info.armagroupbd@gmail.com,88028399701,8801711545006,8801919536905,"","","","","","",""
88,Army Housing Scheme (AHS),http://www.abs.org.bd.com/,md@jolshiriabashon.com,88028750011,8872530,"","","","","","","",""
89,Aronnok Developments Ltd.,http://www.aronnokbd.com/,dhakaharun78@gmail.com,8801711265547,"","","","","","","","",""
90,Art Domain Properties Ltd.,"",artdomainproperties@gmail.com,8801720040307,8801730555141,"","","","","","","",""
91,Artisan Apartments Limited,http://www.artisanbd.com/,artisan@bdcom.com,8802224415415,"","","","","","","","",""
92,Artisan Technological Services Ltd.,http://www.artisanbd.com/,info@artisanbd.com,8802224415415,"","","","","","","","",""
93,Ascott Holdings Ltd.,http://www.ascotbd.com/,info@ascottbd.com,88029664927,9667043,"","","","","","","",""
94,Ashaloy Housing & Developers Ltd.,http://www.ashaloy.com/,info@ashaloy.com,880255086960,880255086961,880255086962,"","","","","","",""
95,Ashiyan Lands Development Ltd.,http://www.ashiyangroup.com/,info@ashiyan-city.com,25505172026,255051730,"","","","","","","",""
96,Asian Town Development Ltd.,http://www.asiantown.com.bd/,mirafsarali80@gmail.com,9870220,9870270,"","","","","","","",""
97,Asiatic Properties Limited,http://www.asiatictextile.com/,marketing.aplbd@gmail.com,8802223350202,8802223358614,"","","","","","","",""
98,Aspect Properties Ltd.,http://www.aspectpropertiesbd.com/,aspectpbd@gmail.com,8801996803836,"","","","","","","","",""
99,Asset Developments & Holdings Ltd.,http://www.asset.com.bd/,asset_corporate@asset.com.bd,"","","","","","","","","",""
100,Asset Homes Ltd.,http://syedbdgroup.com/,syedhayderali@gmail.com,8801716030152,"","","","","","","","",""
101,Assign Holdings Ltd.,http://www.assignbd.com/,info@assignbd.com,88028417817,8417818,8417819,"","","","","","",""
102,Associated Builders Corporation Ltd.,http://www.abcgroup.com.bd/,abcltd72@gmail.com,8802222276349,8802222275623,"","","","","","","",""
103,Assort Housing & Engineering Ltd.,http://www.assorthousing.com/,assorthousing@gmail.com,2222294471,222226014,288339880,8801711535262,"",8801714170031,"","","",""
104,Assort Properties Ltd.,http://www.assortpropertiesltd.com/,assortproperties@gmail.com,880248112253,8801912300093,"","","","","","","",""
105,Assurance Developments Ltd.,http://www.assurance.com.bd/,info@assurance.com.bd,9606222444,"",8801713008541,8801819263840,"","","","","",""
106,Assure Builders Ltd.,http://www.assurepropertiesltd.com/,info@assuregroupbd.com,880258812718,58812719,58812720,9850154,9885763,"","","","",""
107,Assure Development And Design Ltd,http://www.assuregroupbd.com/,info@assuregroupbd.com,880258812718,"","","","","","","","",""
108,Asterpark Holdings Ltd.,http://www.asterparkbd.com/,asterparkholdings@gmail.com,8801716583020,8802223310969,8801819202051,8801552316335,"","","","","",""
109,Ativo Properties Limited,"",ativopropertiesltd@gmail.com,88029337916,"","","","","","","","",""
110,Atlantic Properties and Development Ltd.,http://www.purbachalmarinecity.com/,purbachalmarinecity@yahoo.com,8801711487615,"","","","","","","","",""
111,Attalika Homes Ltd.,http://www.attalikahomesltd.com/,attalikahomesbd@outlook.com,88027275567,7275568,"","","","","","","",""
112,Attic Developments Ltd.,http://www.atticbd.com/,info@atticbd.com,8802222245102,222245103,222245104,"","","","","","",""
113,Austral Properties ltd.,http://www.australproperties.com/,australpropertiesbd@gmail.com,88028001883,8801715050465,"","","","","","","",""
114,Australia Bangladesh Development Associates Ltd.,http://www.abdaaus.com/,abec@gmail.com,880248112221,"","","","","","","","",""
115,Austrian Properties Limited.,http://www.austrianpropertiesltd.com/,austrianpropertiesltd@gmail.com,8801726909848,8801715050465,"","","","","","","",""
116,AWR Developments (BD) Limited,http://www.awr.com.bd/,info@awr.com.bd,88028832278,"","","","","","","","",""
117,Axle Properties Limited,http://www.axlepropertiesltd.com/,axlepropertiesltd@gmail.com,8801715801232,"","","","","","","","",""
118,Azad Construction (Pvt) Limited,http://www.shadhingroup.com.bd/,shadhin73@hotmail.com,880288375723,"","","","","","","","",""
119,Azmiri Properties Development Ltd.,http://www.azmiribazar.com/,azmari.info@gmail.com,880258154234,"","","","","","","","",""
120,Babui Properties Ltd.,http://www.babuigroup.com/,info@babuigroup.com,88024832224,"","","","","","","","",""
121,Badhon Builders Ltd.,"",badhonbuildersbd@gmail.com,8801973375501,48959172,58956770,8801713375544,"","","","","",""
122,Bagdad Holdings Limited,http://www.bagdadholdings.com/,bagdadholdings@gmail.com,8801711529009,"","","","","","","","",""
123,Baitul View Holdings Limited,"",baitulholdings@gmail.com,9562753,9559816,8801726580888,"","","","","","",""
124,Bakla Developers (Pvt.) Ltd.,"",bsl.bdpl@gmail.com,8804312177800,8801733226565,"","","","","","","",""
125,Banani Property Development Ltd.,http://www.pptl-bd.com/,pptlbd@yahoo.com,88028822217,88334045,8801712526113,"","","","","","",""
126,Bancon Development Ltd.,http://www.banconbd.com/,info@banconbd.com,8801705151601,8801705151602,"","","","","","","",""
127,Bangladesh Development Company Limited,http://www.bdg.com.bd/,info@bdg.com.bd,880255036456,55036457,55036458,55036692,"",8801711620362,"","","",""
128,Bangladesh Home Makers Ltd.,"",bdhomemakers@gmail.com,8801711731399,8801945591588,"","","","","","","",""
129,Barobi Holdings Ltd.,"",bhl@bsgrouponline.com,88028834617,88029821555,"","","","","","","",""
130,Bashati Consortium Ltd.,http://www.bashati.net/,bashati@gmail.com,8802223361333,8801711537449,"","","","","","","",""
131,Bashundhara City Development Ltd.,http://www.bashundhara-city.com/,ewpd@bgc-bd.com,8801819237595,9611800000,"","","","","","","",""
132,Basic Builders Limited,http://www.basicbuildersltd.com/,latif@basicbuildersltd.com,8802222290218,8802222289246,"","","","","","","",""
133,Basic Real Estate Ltd.,"",ansarbasic1962@gmail.com,88029143177,8191540,880255000482,8801755503741,8801713311135,"","","","",""
134,Bastu Shaily Holdings Ltd.,http://www.bhibd.com/,"",880287136012,8801613068976,"","","","","","","",""
135,Basumati Real Estate Limited,http://www.basumoti.com/,alamin@basumati.com,8802222289438,8801929244244,"","","","","","","",""
136,Batayan Developers Limited,"",batayandevelopersbd@gmail.com,8801730068554,8801711595747,"","","","","","","",""
137,Bay Developments Ltd.,http://www.baydevelopments.com/,bay@baydevelopments.com,880255051803,55051804,"","","","","","","",""
138,Bay Tech Properties Ltd.,"",baytechbd@bangla.com,312550379,880312554959,"","","","","","","",""
139,BDDL Housing Limited,http://www.bddlhousing.com/,info@bddlhousing.com,880241023129,41023130,8801733062834,"","","","","","",""
140,BDDL Properties Limited,http://www.bddlproperties.com/,info@bddlproperties.com,"",8801755511039,8801755511005,"","","","","","",""
141,BDTech Holdings Limited,http://www.bdtechholdings.com/,bdtechholdingsltd@gmail.com,"","","","","","","","","",""
142,Beacon Real Estate Limited,http://www.beaconexim.com/,beacongroupbd@gmail.com,88029352781,9352782,8801733077686,"","","","","","",""
143,Bengal Holdings Limited.,http://www.bengalholdingsltd.com/,bengalholdings@yahoo.com,312552635,3125526187,8801715429369,"","","","","","",""
144,Berkeley Homes Ltd.,http://www.barkeleyhomesltd.com/,berkeleybd@yahoo.com,8801819278562,8801799447755,"","","","","","","",""
145,Best Mark Properties Limited,http://www.besrmarkgroupbd.com/,bestmarkgroupbd@gmail.com,0248814372  75,8801711521158,"","","","","","","",""
146,Bestliving Properties Ltd.,"",bestliving1954@gmail.com,880175551117375,"","","","","","","","",""
147,Better Engineering Ltd.,https://bel.ltd/,nasir@bel.ltd,880248958044,"","","","","","","","",""
148,Bhaiya Housing Ltd.,http://www.bhaiyahousing.com/,info@bhaiyahousing.com,88028832200,"","","","","","","","",""
149,Bharsa Housing & Developers Limited.,"",bhdl2011@gmail.com,27542066,"","","","","","","","",""
150,BHB Builders Ltd.,http://www.bhblbd.com/,bhbuilders11@gmail.com,8801712665267,"","","","","","","","",""
151,Bhistee Developments Ltd.,"",bhistee@gmail.com,880241080249,880241080251,8801713018248,"","","","","","",""
152,Bhuiyan Holdings Ltd.,http://www.bhuiyanholdings.com/,bhcc_md@yahoo.com,8802959651,"","","","","","","","",""
153,Bhulua Royal City (Pvt) Ltd.,"",bhuluaroyalcity@gmail.com,8801817539106,8801911308661,"","","","","","","",""
154,Bil-Tec Development Ltd,http://www.bil-tec.com/,emdad@bil-tec.com,9822337,9822338,"","","","","","","",""
155,Bilash Development And Properties Ltd.,http://www.bilashgroupltd.com/,bilashgroupltd@yahoo.com,88028331395,2222223184,"","","","","","","",""
156,Binodan Real Estate & Development Ltd.,http://www.binodhanrealstate.com/,binodhangroup@yahoo.com,88028962984,8933257,"","","","","","","",""
157,Bio Properties Limited,http://www.biopropertiesbd.com/,b.properties@yahoo.com,880248810988,8801709653658,"","","","","","","",""
158,Bistaar Upodeshta Limited,"",bistaar1995@gmail.com,880241023125,"","","","","","","","",""
159,Biswas Builders Limited,http://www.bblbd.com/,info@bblbd.com,8802223361320,8802223364542,"","","","","","","",""
160,BNS Real Estate Ltd.,"",info@bnsgroupbd.com,288344016,"","","","","","","","",""
161,Bondhon Real Estate Limited,http://www.bondhondeveloper.com/,jalal.uddin@bondhondeveloper.com,88029584956,8801711571992,8801725160478,"","","","","","",""
162,Borak Real Estate Limited,http://www.borakbd.com/,info@borakbd.com,8802988511623,"","","","","","","","",""
163,Brand Maker Property Management Limited,http://www.brandgroupbd.com/,info@brandgroupbd.com,8802222262191,8802222288192,8802222282193,8801770792121,"","","","","",""
164,BRB Homes Limited,http://www.brbhomesbd.com/,info@brbhomesbd.com,88029126421,88029126422,8801811485475,"","","","","","",""
165,Brick Works Development Ltd.,"",bwdl.bd@gmail.com,88029114639,8801711542125,"","","","","","","",""
166,Bridge Holdings Limited,http://www.bridge-bd.com/,info@bridge-bd.com,880258815651,880258815652,880258815653,880258815654,"","","","","",""
167,BRS Developments Limited,"",brsdevelopments@gmail.com,8801786119525,"","","","","","","","",""
168,Build King Properties (Pvt.) Ltd,"",buildking2010@gmail.com,880312869946,880312869947,8801814339001,8801814339000,"","","","","",""
169,Building Construction Ltd.,http://www.bcl-bd.com/,info@bcl-bd.com,2588877310,8801711419102,"","","","","","","",""
170,Building For Future Ltd.,http://www.buildingforfutureltd.com/,sales@buildingforfutureltd.com,88029137048,9137450,9137015,58157503,"",58155815,"","","",""
171,Building Technology & Ideas Ltd.,http://www.btibd.com/,info@btibd.org,880258816191,58812684,"","","","","","","",""
172,Buildup Technology Ltd.,"",builduptechnology@gmail.com,88029103734,"","","","","","","","",""
173,CA Property Development Ltd.,http://happycpdl.com/,ifti@happycpdl.com,"","","","","","","","","",""
174,CapitaLand Development Ltd.,http://www.capitagroupbd.com/,mh_khan@capitagroupbd.com,+8809639009009,8801937990900,"","","","","","","",""
175,Carnival Homes Ltd.,http://www.chlbd.com/,"",9101001,9144889,"","","","","","","",""
176,CDC Properties Limited,http://www.cdc-pl.com/,cdcpltd@gmail.com,8010723,8801713219157,"","","","","","","",""
177,Celestial Address Development And Holdings Ltd.,"","",88029115741,9896076,8801715012175,8801674173964,"","","","","",""
178,Cemex Properties Limited,http://www.cemexproperties.com.bd/,cemexpropertiesbd@gmail.com,880241022778,"","","","","","","","",""
179,Century Holdings Ltd .,"",centuryholdingsbd@gmail.com,88027643735,"","","","","","","","",""
180,Century Realty Ltd.,http://www.centurygroup.info/,info@centurygroup.info,"",8801915476600,"","","","","","","",""
181,Charuta Homes Ltd.,http://www.charutahomes.com/,info@charutahomes.com,88028834126,8834240,"","","","","","","",""
182,Chaya Developer Limited,"",chaya.developer@gmail.com,8881518,8881519,8881531,"","","","","","",""
183,Chhayatoru Properties Ltd.,http://www.chhayatoru.com/,ceo@chhayatoru.com,8801327417424,"","","","","","","","",""
184,China Gardencity Developers Ltd.,http://www.cgdl.org/,cgdl.bd@live.com,88029660530,"","","","","","","","",""
185,Circle Holdings Limited,http://www.circleholdingsbd.com/,chl_75@yahoo.com,5502931621,"","","","","","","","",""
186,Citadel Properties Ltd.,http://www.citadelgroupbd.com/,info@citadelgroupbd.com,880251056529,8801823072880,8801911708939,"","","","","","",""
187,City Axis Ltd.,http://www.pblbd.com/,pbldhaka@yahoo.com,88028319125,88029891187,9891250,9891143,"","","","","",""
188,City Home Properties Limited,http://www.cityhomeltd.com/,cityhomeltd@gmail.com,880312557329,2557331,"","","","","","","",""
189,City Homes Ltd.,http://www.ahmedgroupbd.com/,cityhomes@ahmedgroupbd.com,88029578346,9578349,9578351,"","","","","","",""
190,City Technology Limited,http://www.bdmalikgroup.com/,malikny2010@gmail.com,41020981,41020982,41020983,8801711452369,"","","","","",""
191,Citylights Real Estate Ltd.,http://www.citylights.com.bd/,citylightsrealestateltd@gmail.com,880248955535,88017290145035,"","","","","","","",""
192,Civic Development Ltd.,http://www.civic2000.com/,civicdevelopments2000@yahoo.com,28823438,8823432,"","","","","","","",""
193,Climax Holdings Ltd.,http://www.climaxholdingsltd.com/,md@climaxholdingsltd.com,880248812032,48812078,8801760220555,"","","","","","",""
194,Colonnade Design and Development Ltd .,http://www.cddl.com.bd/,mirzanaimulislam@gmail.com,8801711381778,"","","","","","","","",""
195,Comfort Housing Limited,http://www.comforthousing.net/,comforthousing@gmail.com,258053880,8801818578132,"","","","","","","",""
196,Comfort Living Ltd.,http://www.comfortlivingltdbd.com/,shafiqcll57@gmail.com,88029860309,8801711563662,"","","","","","","",""
197,Comilla Developments & Holdings Ltd.,http://www.comillaholdingsltd.com/,comillaholdings@gmail.com,8801678713604,8801678038638,"","","","","","","",""
198,Comilla Holdings Ltd.,http://www.comillaholdingslimited.com/,comilla_holdings@yahoo.com,8801678713606,"","","","","","","","",""
199,Compact Properties Limited,"",compactpl@yahoo.com,312582084,"","","","","","","","",""
200,Comprehensive Holdings & Developments Ltd,https://www.comprehensiveholdings.net/,info@comprehensiveholdings.net,41021664,41021665,41021667,41021668,"","","","","",""
201,Comprehensive Holdings Ltd.,http://www.comprehensiveholdings.net/,info@comprehensiveholdings.net,41021665,41021667,41021668,41021669,41021670,"","","","",""
202,Concept Engineering & Development Ltd.,"",concept.dhaka@gmail.com,8801713062159,880255087136,88255087137,"","","","","","",""
203,Concord Architects & Interior Decor Ltd.,http://www.concordgroupbd.com/,shahriar@concordgroupbd.com,8802222264127,2222299139,58815006,2222288834,"",2222286886,2222281905,2222281909,"",""
204,Concord Condominium Ltd.,http://www.concordgroupbd.com/,shahriar@concordgroupbd.com,8802222264127,2222299139,58815006,2222288834,"",2222286886,2222281905,2222281909,"",""
205,Concord Engineers & Construction Ltd.,http://www.concordgroupbd.com/,shahriar@concordgroupbd.com,8802222264127,2222299139,58815006,2222288834,"",2222286886,2222281905,2222281909,"",2222296313
206,Concord Lands Limited,http://www.concordgroupbd.com/,shahriar@concordgroupbd.com,8802222264127,2222299139,58815006,2222288834,"",2222286886,2222281905,2222281909,"",""
207,Concord Real Estate & Building Products Ltd.,http://www.concordgroupbd.com/,shahriar@concordgroupbd.com,8802222264127,2222299139,58815006,2222288834,"",2222286886,2222281905,2222281909,"",2222296313
208,Concord Real Estate & Development Ltd.,http://www.concordgroupbd.com/,shahriar@concordgroupbd.com,8802222264127,2222299139,58815006,2222288834,"",2222286886,2222281905,2222281909,"",2222296313
209,Concrete And Steel Technologies Limited,http://www.powertradegroup.com/,constech@dhaka.net,88029120975,9129942,"","","","","","","",""
210,Concrete Developers Limited,http://www.concrete-bd.com/,concretedl@gmail.com,8801704887720,"","","","","","","","",""
211,Coral Reef Properties Limited,http://www.coralreef.com.bd/,info@coralreef.com.bd,880173072520125,8802222261343,88028714678,"","","","","","",""
212,Cordial Homes Design & Development Ltd.,"",cordialhomes2006@gmail.com,8801814233436,8801974233436,"","","","","","","",""
213,Cordial Properties Ltd.,http://www.cordialproperties.com/,cordial.cpl@gmail.com,255098397,8801841414146,"","","","","","","",""
214,Cosmopolitan Homes Ltd.,http://www.cosmopolitanhomesltd.com/,cosmopolitanhomes@hotmail.com,241023548,"","","","","","","","",""
215,Country House BD Limited,"",countryhousebdlimited@gmail.com,88029853214,"","","","","","","","",""
216,Creative Associates Limited,https://www.cal.com.bd/,info@cal.com.bd,8802224427675,"","","","","","","","",""
217,Creative Builders Ltd.,"",jhnahid1983@gmail.com,8801678000355,8801823009353,"","","","","","","",""
218,Credence Housing Ltd.,http://www.credencehousingltd.com/,credencehousingltd@gmail.com,880241021376,880241021378,"","","","","","","",""
219,Criterion Developers Limited,http://www.criteriondevelopments.com/,info@criteriondevelopments.com,8801914204372,"","","","","","","","",""
220,Cube Holdings Ltd.,http://www.cubeholdingsltd.com/,cubeholdingsltd@gmail.com,8801730774380,8801324717431,"","","","","","","",""
221,Cute Homes Limited,http://www.cutehomes.com.bd/,info@cutehomes.com.bd,88028392561,88028392562,8801730300518,"","","","","","",""
222,D-Builders & Properties Ltd.,http://www.d-builerd.com/,dbplbd10@yahoo.com,88029120061,"","","","","","","","",""
223,Dada Builders Ltd.,"",dpl20127@gmail.com,8801712874956,"","","","","","","","",""
